SQRP SY2019 Individual Indicator Scores (Based on 2017-2018 Data),,,,,,NWEA MAP Growth Indicators - All Students,,,,,,,,,,,,NWEA MAP Growth Indicators - Priority Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWEA MAP Attainment Indicators,,,,,,,,,,,,,,,,Other Indicators,,,,,,,,,
School ID,School Name,Network ,SQRP Total Points Earned,SY 2018-2019 SQRP Rating,SY 2018-2019 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,
400050,NAMASTE,Charter,3.1,Level 2+,Not Applicable,66,100,3,17.5,61,100,3,17.5,57.8,100,3,10,,,,,66,100,4,1.25,,,,,46,100,3,1.25,,,,,60,100,4,1.25,,,,,98,100,5,1.25,52,100,3,5,36,100,2,5,31,100,2,2.5,24,95,2,2.5,95.9,4,20,Not Yet Organized,1,10,100,5,5,
400060,AHS - PASSAGES,Charter,2.9,Level 2+,Not Applicable,29,100,2,16.25,35,100,2,16.25,48.9,100,2,10,29,100,2,1.25,19,100,2,1.25,62,100,4,1.25,,,,,32,100,3,1.25,23,100,2,1.25,57,100,4,1.25,,,,,71,100,4,5,59,100,3,5,94,100,5,2.5,97,100,5,2.5,94.8,3,20,Organized,4,10,99.8,5,5,
400068,PLATO,Contract,2.5,Level 2,Intensive Support,25,100,2,17.5,42,99,3,17.5,46.2,99,2,10,25,100,2,1.25,,,,,,,,,4,100,1,1.25,43,99,3,1.25,,,,,,,,,63,99,4,1.25,15,100,2,5,13,99,2,5,11,98,2,2.5,7,95,1,2.5,93.5,2,20,Organized,4,10,99.8,5,5,
400069,POLARIS,Charter,3.6,Level 1,Not Applicable,40,98,3,17.5,55,98,3,17.5,50.5,98,3,10,40,98,3,1.25,,,,,,,,,15,98,2,1.25,52,98,4,1.25,,,,,,,,,17,98,2,1.25,36,98,2,5,45,98,3,5,11,98,2,2.5,12,98,2,2.5,97.9,5,20,Well Organized,5,10,99.7,5,5,
400071,PROVIDENCE ENGLEWOOD,Charter,2.4,Level 2,Not Applicable,21,100,2,17.5,18,100,2,17.5,43,100,2,10,22,100,2,1.25,,,,,,,,,1,100,1,1.25,17,100,2,1.25,,,,,,,,,1,100,1,1.25,44,100,3,5,29,100,2,5,20,95,2,2.5,24,95,2,2.5,94.2,3,20,Partially Organized,2,10,99.9,5,5,
400075,U OF C - DONOGHUE,Charter,3.6,Level 1,Not Applicable,44,100,3,18.75,48,100,3,18.75,49.4,100,2,10,44,100,3,1.25,,,,,,,,,,,,,50,100,4,1.25,,,,,,,,,,,,,41,100,3,5,43,100,3,5,38,99,2,2.5,42,99,3,2.5,96.5,5,20,Well Organized,5,10,100,5,5,
400076,U OF C - NKO,Charter,3.3,Level 2+,Not Applicable,34,100,2,18.75,63,100,3,18.75,51.5,100,3,10,38,100,3,1.25,,,,,,,,,,,,,63,100,4,1.25,,,,,,,,,,,,,63,100,3,5,62,100,3,5,76,100,4,2.5,68,100,3,2.5,96.3,5,20,Partially Organized,2,10,100,5,5,
400078,U OF C - WOODSON,Charter,3.9,Level 1,Not Applicable,83,100,4,17.5,73,100,4,17.5,62,100,4,10,83,100,5,1.25,,,,,,,,,34,100,3,1.25,73,100,5,1.25,,,,,,,,,43,100,3,1.25,71,100,4,7.5,46,100,3,7.5,,,,,,,,,96.5,5,20,Not Yet Organized,1,10,99.7,5,5,
400079,ACERO - ZIZUMBO,Charter,3.7,Level 1,Not Applicable,52,100,3,17.5,68,100,3,17.5,60.5,100,4,10,,,,,52,100,4,1.25,44,100,3,1.25,,,,,,,,,69,100,4,1.25,84,100,5,1.25,,,,,80,100,4,5,77,100,4,5,70,100,4,2.5,38,100,2,2.5,96.2,5,20,Partially Organized,2,10,100,5,5,
400080,ACERO - TORRES,Charter,3.8,Level 1,Not Applicable,54,100,3,17.5,70,100,4,17.5,59.9,100,3,10,,,,,56,100,4,1.25,73,100,5,1.25,,,,,,,,,70,100,5,1.25,73,100,5,1.25,,,,,74,100,4,5,79,100,4,5,74,100,4,2.5,65,100,3,2.5,96.2,5,20,Partially Organized,2,10,99.3,5,5,
400081,ACERO - DE LAS CASAS,Charter,3.6,Level 1,Not Applicable,36,100,2,17.5,57,100,3,17.5,53,100,3,10,,,,,34,100,3,1.25,22,100,2,1.25,,,,,,,,,58,100,4,1.25,48,100,3,1.25,,,,,57,100,3,5,68,100,3,5,82,100,4,2.5,44,100,3,2.5,96.1,5,20,Well Organized,5,10,99.7,5,5,
400082,ACERO - FUENTES,Charter,3.9,Level 1,Not Applicable,75,100,4,17.5,58,100,3,17.5,58.9,100,3,10,,,,,73,100,5,1.25,71,100,5,1.25,,,,,,,,,58,100,4,1.25,60,100,4,1.25,,,,,82,100,4,5,75,100,4,5,64,100,3,2.5,87,100,4,2.5,96.5,5,20,Moderately Organized,3,10,100,5,5,
400083,ACERO - PAZ,Charter,2.6,Level 2,Not Applicable,30,100,2,17.5,14,100,2,17.5,43.1,100,2,10,,,,,40,100,3,1.25,7,100,1,1.25,,,,,,,,,19,100,2,1.25,12,100,2,1.25,,,,,48,100,3,5,24,100,2,5,59,100,3,2.5,32,100,2,2.5,95.7,4,20,Partially Organized,2,10,100,5,5,
400084,ACERO - TAMAYO,Charter,4.4,Level 1+,Not Applicable,83,100,4,17.5,75,100,4,17.5,63.9,100,4,10,,,,,83,100,5,1.25,62,100,4,1.25,,,,,,,,,75,100,5,1.25,70,100,5,1.25,,,,,78,100,4,5,78,100,4,5,79,100,4,2.5,72,100,4,2.5,96.9,5,20,Well Organized,5,10,100,5,5,
